kalimat;tag
dok, semoga sehat sekali saya merasa kalau setiap hari saya tidak kosisten menjalani kegiatan hari2 dan tidak contoh saya kemarin sangat bersemangat sekali menjali rutinitas saya. di hari berikutnya menjadi kebalikannya, saya mempunyai pekerjaan freelance tapi terkadang pekerjaan itu sering saya tidak kerjakan karena saya tidak bersemangat. bahkan saya lebih memilih untuk tidak melakukan pekerjaan itu sampai berhari hari hingga benar benar semangat saya tumbuh dan saya mengalami ini kejadian ini kurang lebih hampir 3 ini merupakan bagian dari depresi atau hanya kurang semangat atau mood yg tidak stabil penjelasannya doc. terimakasih ;bipolar
dok, izin bertanya. saya perempuan usia 21tahun. beberapa waktu yg lalu saya kehilangan org yg penting buat saya. setelah itu saya sering menangis, dapat dikatakan setiap pagi bangun tidur dan malam sebelum tidur menangis. saya tidak dapat melakukan aktivitas dengan baik, bahkan saya sampai terjatuh karena tidak fokus. sering kali saya juga merasakan sakit hati dan sedih namun saya malah tertawa. dada saya sering terasa sesak dan sakit. saya juga insomnia, hanya tidur 3-4jam dalam sehari. saya sering melamun dan secara tiba2 terjadi prubahan pada mood saya. saya kehilangan selera makan, melakukan aktivitas, dan terjadi penurunan berat badan yang drastis. saya seperti ini sudah hampir 2 minggu. lalu apa yang harus saya ;bipolar
punya paman berumur 40 tahun dia penderita bipolar, dia ingin menlakukan treatment suntik tetosteron apakah treatment intu aman untuk penderita bvopolah ;bipolar
terkahir ini saya selalu merasa stress berlebih terkadang sampai ingin melukai diri sendiriApa yang harus saya lakukan? Tidak ada tempat untuk berbagi cerita apakah boleh saya mengkonsumsi obat ;bipolar
ingin bertanya, mengapa saya sulit sekali mengendalikan emosi,gampang sekali menangis sesegukan, jika ada suatu hal yang gak sesuai dengan hati saya,saya selalu merasa kecewa. jika sedang sendiri saya sering memikirkan hal hal buruk padahal saya tau itu tidak benar dan kemudian menangis sampai seluruh badan kram,jika sya sudah seperti itu saya ,tidak ingin melakukan hal apapun hanya ingin berdiam diri sendirian di kamar dan tidak mau berkomunikasi dengan orang ada suatu hal yang membuat saya bahagia saya akan sangat bahagia namun jika itu hilang saya merasa sedih dan merasa sangat gampang sekali berubah tiba tiba bahagia tidak lama kemudian bisa ;bipolar
dokMaaf ngechat malam malam gini dokSaya mau minta saran apakah harus ke psikolog atau psikiater, dokter aja nanganin juga gapapa kok karna masih ga ngerti dan gatau cara gimana mau ngadu ini, oiya dok kalo ada bpjs apakah bisa minta rujuk ke rs yg ada dr psikiaternya?.Jadi keluhan saya gini dokHati ini selalu uring uringan, pacaran engga, jadi beban mungkin cuma karena dikeluarga aja, dan gabisa nangis didepan orang, gabisa ngungkapin perasaan yang ada,selalu dipendam sendiri, kadang suka ngomong sendiri depan kaca nyemangatin diri, sering banget sendawa berkaliâ dan saya gamau diagnosis sendiri kaya penyakit gerd gitu, pengen nangis pengen teriak tapi gatau apa yang ditangisin,gabisa liat yang galau dikit auto kebawa perasaannya, dulu pernah suka drakor eh taunya sad ending hampir setahunan moveonnya dok nangisin gajelas begituan, tangan kalo lagi ngobrol sama orang terutama lawan jenis suka gemeteran sendiri, kadang suka panic attack , dan saya masih mendam sampai sekarang kesedihan ditinggal sahabat suka lagi ketawaâ eh tau tau sedih bgt suasana hati, dan mungkin karna keluarga juga masih tabu hal seperti ini jadi gamungkin buat ngadu kaya gini dok apalagi adek saya autis yg suka ngamuk ga jelas, trus saya gabisa dibentak dikit auto kepikiran, gmna ya dok cara hilangin omongan org padahl gamau diingetin tpi terlintas sendiri malah pengen rasanya dihipnotis buat hilangin beban ini, segala cara rasanya udh dilakuin buat nangis ngadu sama Allah tpi takut mau buat yang enggaâ lagi, dulu 3 tahun lalu pernh sayatâ kecil tangan biar lebih tenang hati ternyata bisaaa jadi tentram tapi ga dilanjutin lagi karna pindh kota selama 2 bulan dok,alhamdulillah udh tentram jiwa tpi akhirâ ini rasanya kaya galau gajelas lagi sampai dulu gapernh mau rambut panjang sekrng rambut gapernh bisa panjang, karna bosen dikit potong.Dan skrng sepertinya banyak tremornya, banyak takut ini takut itu,gasuka dikeramaian,lebih suka main hp di kamar aja, paling anti sekarang pulang ke kampung takut dibandingn sama sodara yg lebihâ. Apakah ada cara untuk penyelesaianya dok?Untuk saat ini mungkin saya butuh obat tpi yg psti bisa rekomendasi cuma dr kan, oiya saya punya badan dari dulu kerja dikit tapi ngantuk terus dok, dulu sering begadang tpi skrng sudah jarang banget karna ada kuliah ,untuk buat tugas kuliah aja perlu mood yang bagus juga dok ;bipolar
dok, umur saya 22thn. Sekarang saya lagi ngerasa sedih, ngerasa sepi, nangis terus susah berhenti. Apakah rasa sedih yng sedang saya alami normal dok? Kejadian lebih tepatnya saya abis liburan, tapi pas liburan saya kurang menikmati. Ada perasaan yang bikin saya ngga bisa menikmati pas saya lagi liburan. Pas sudah di rumah saya ngerasa sepi banget, ngerasa ada yng hilang. Nangis susah ;bipolar
dok, saya ingin bertanya pertama saya prempuan umur 21 tahun, dok 5 tahun lalu saya bertengakar dengan ayah saya, namun perkataannya sampai sekarang tidak bisa saya lupa, setiap malam saya teringat, sehingga apabila ada orang yang menurutnya masalah kecil itu sangat besar buat saya? Saya sering menangis tiap malam walaupun tidak ada sebab sedari 5 tahun lalu, tapi tiba tiba beberapa hari kemudian saya tertawa seperti sangat senang, mood saya cepat skli berubah saya pernah ingin bunuh diri 3 tahun lalu tapi saya urungkan, sampai sekarang saya sering stress, lebih suka menyendiri, apabila di tempat ramai saya sering merasa seperti pusing, di tempat terlalu terang saya juga merasa pusing, saya mudah skli marah dok, mungkin sangat gampang marah, tapi tiba tiba saya menjadi sangat orang yang sangat lembut. apabila saya sedang emosi, saya seperti menjadi orang yang sangat kasar memukul, menghancurkan barang, menampar apapun di depan saya seperti ingin menghancurkannya, tapi setelah semuanya saya seperti tidak sadar, seperti binggung apa yang telah saya lakukan dan menyesal. saya takut memilih jalan saya sndiri karna takut pilihan saya akan membawa sial bagi orang lain, saya jadi orang yang susah untuk membuka pendapat saya sendiri, bahkan saya susah sekali bercerita masalah saya pada pacar dan teman saya, saya takut mereka memnganggap ini hal sepele, ssaya selalu kepikiran tiap malam. Tapi saya takut menjadi seseorang seperti ini terus dok tolong tanggapannya atau ada resep obat yang bisa di berikan kepada saya. Terima ;bipolar
saya sering mengalami perubahan susana hati yang terkadang menangis tanpa sebab setelahnya masa lalu buruk yang pernah menimpa saya teringat kembali, sudah saya mengalaminya, sayq pernah ada niat sesaat untuk bunuh diri, namun ini gejala itu lebih parah terulang setiap minggu sekali kadang beberapa kali. Langkah apa yang harus saya lakukan ya ;bipolar
pagi / siang / sore, dok !.keluhan saya, suka ngomong cepet kadang kesel kalau lagi ngajak ngomong dan lawan bicara kita malah gapaham, saya suka marah sama hal kecil dan marahnya itu bener bener marah, bahkan ngebanting barang (cont : susah masukin kunci padahal baru pertama kali coba lalu saya akan marah dan menendang pintu, saya juga suka lupa mau ngomong apa,, kadang saat cerita, presentasi dan berpidato sebagai macam saya suka lupa dialog atau text, itu benar benar mengganggu, saya benar benar tidak bisa fokus.. bahkan saat belajar di kamar motor lewat saya langsung spontan melirik, saya cepat terganggu. dan yang terakhir saya suka ngebug sendiri kalau sedang diajak berbicara, saya suka berkhayal di waktu yang kadang tidak ;bipolar
dok, mau saya kalo emosi/sedih sering di pendem, alhasil saat saya sendiri saya sering nangis untuk meluapkannya dan kadang tanpa sebab, ditambah kalo nangis saya sering gemeter dan menyakiti diri sendiri (misal: mukul2 kepala sampai puas, kalo kuku lagi panjang, saya suka neken ke tangan sampe berbekas dan kadang berdarah, ini gaada yg pernah peduli/nanya ke saya kalo sedang cemas/khawatir bisa sampe gemeter tangan saya punya masalalu yg tidak enak, sejak kecil saya sering melihat kedua orangtua saya berantem, setelah itu, mereka masing2 selingkuh, kenapa saya tau? karna saya pernah melihatnya, dan kira2 sejak taun lalu ayah dan ibu saya pisah rumah tp tidak bercerai dgn alesan saya sangat amat kurang percaya diri buat berpendapat, karna kalo pendapat saya salah, saya selalu menyalahkan diri saya lebih tenang saat saya saya jarang cerita ke orgtua/kaka saya sendiri, karna kl saya cerita pasti mereka bales dgn adu nasib pdhl bukan itu jawban yg sy inginkan, dan suka dibilang lebay lah berlebihan lah, shg saya tidak terbuka dengan saya mempunyai 1 adik laki2, dia cowo seorang diantara 3 cewe dan dia bungsu, mungkin karna dari dulu saya ga pernah mau punya adik, sampai skrng saya ga suka adik saya, karna yg saya rasakan, saya selalu diperlakukan tidak adil oleh ortu saat sma kelas 10, saya selalu disalahkan, misal saya tbtb dijauhi oleh circle saya, saya selalu tanya dan minta maaf kalo ada kata2 saya yg nyakitin, dan itu membuat saya overthinking shg sulit tidur, padahal saya tidak ada salah apa2, dan itu berulang hampir setiap hari, bodohnya saya masih mau berteman dgn mereka, karna saya kyk susah gt loh mau berteman dekat sama org, sampai saat kenaikan kelas, saya bertemu teman2 baru, bersyukur bgt bgt kenal sm org2 baru ini, mereka sayang tulus sama saya, mulailah saya menjauh sm circle saya yg kelas 10 karna disitu saya baru ngerti ternyata mereka toxic, semenjak kenal temen2 kelas yg baru, pola hidup saya menjadi teratur, lebih sehat. eh pas kuliah, saya lolos di jurusan yg tidk saya inginka (pilihan ibu saya), mulai smstr 1 2, itu bener2 stress, smstr 3 juga saya kadang stress dgn tugas dan daringnya krn saya harus memaksakan diri untuk betah di jurusan ini, dan mau ga mau saya harus menjalaninya sampai maaf saya jadi cerita dok, menurut dokter, apakah saya masih normal? atau saya perlu konsul scr langsung ke ;bipolar
siang dokter. Perkenalkan saya Yuniefa, usia 22 tahun. Selama beberapa tahun terakhir ini saya memiliki mood yg sangat sensitif. Mulai dari pikiran yg sering overthinking dan itu mempengaruhi mood saya di kemudian harinya. Saya bisa seharian tidak berbicara kepada siapapun hingga rasanya tidak ingin melakukan apapun. Contohnya di hari ini, sejak pagi saya tidak bersemangat melakukan apapun dan berbicara kepada siapapun. Yg saya rasakan hanya ingin menangis sepanjang hari. Tapi saya menahan air mata saya keluar karena malu teman-teman kantor bertanya apa yg terjadi kepada sendiri tidak mengerti apa yg saya rasakan saat ini. Saya hanya tidak bersemangat melakukan apapun, dan seperti putus asa terhadap saja yg dapat saya utarakan. Terima kasih ;bipolar
pagi dokter, saya perempuan 24tahun dan belum menikah. Saya juga merupakan pasien epilepsi parsial (lobus temporal) kemudian saya dirujuk ke psikiater dengan diagnosa sementara depresi pada epilepsi.Dalam satu hari saya bisa mengalami perubahan mood berkali-kali. Tiba-tiba merasa senang dan berenergi untuk melakukan banyak pekejaan tapi tiba-tiba juga mengalami kecemasan berlebih tanpa sebab. Ketika cemasnya datang saya selalu merasa mual, lemas, jantung berdebar tidak karuan, ingin marah ingin membanting barang dan selalu berujung melukai diri sendiri (mencakar, membentur-benturkan kepala ke tembok, memukul dan menampar diri sendiri). Tidak jarang juga saya selalu berpikir untuk bunuh diri. Hal ini sangat mengganggu saya dan bahkan membuat saya semakin jauh dengan orang-orang tedekat (karna emosi yang tidak labil, kerap negatif thinking, needy dan clingy dll). Padahal saya juga sudah rutin meminum obat dari psikiater tapi kenapa gejala yang tidak enak itu masih selalu muncul? Mohon bantuannya ;bipolar
siang dok. Izin selama ini kawan saya mempunyai gangguan bipolar trauma dimasa cerita dari dlu kelas 4 SD dilecehin tentang fisik sm lingkungan rumahnya trus ke SMP begitu juga tp sm teman2 nya smpe akhirnya dia SMA begitu jg teman2 nya sampe guru nya pun ikut membully soal fisik. sampai akhirnya dia trauma sampai sekarang sama kalo dia lagi tidur fikirannya keganggu sama dia lagi ngerasa sendiri pasti dia ngerasain kayak ada yang mengejar2 dia sampai dia ketakutan, dan terkadang dia suka melukai diri nya sendiri ngebeset2 ditangan pake barang apapun yang ada didekat dia tapi trkadang dia ga sadar kalo ngelakuin hal itu. sampai tadi malam kejadian tiba tiba dia kebangun dari tidur terus keluar kamar kosan untung nya ada yg ngeliat dia pas keluar, dia jalan begitu cepatttt terus kami susulin dia sampai akhirnya dia kaya kesadar gituu pas kita bawa pulang lagii ke kosaan dia langsung nangis nangis. sampai akhirnya dia baru cerita ke kita apa yang dia alamin dari kecil sampe sekarang lebihnya begitu dok, kira kira apa ya dok solusi banyak dok ;bipolar
