kalimat;tag
dok, usia saya 16 thn. Saya sejak kecil mengalami banyak trauma karena kondisi keluarga saya, ayah saya sering selingkuh. Sejak kecil saya melihat pertengkaran keluarga saya sampai saya berfikir untuk tidak menikah saat saya dewasa. Dari SD sampai SMP saya selalu berprestasi, dari kecil saya kesulitan bersosialisasi tapi saya tetap bergaul. Tetapi pd saat saya masuk SMA saya kehilangan minat untuk hal hal yg biasanya saya sukai, dari semangat belajar sy menjadi malas malasan dan saya jadi penyendiri tidak suka bergaul sama sekali, saya jadi sangat emosional dan mudah marah, saya kesulitan mengontrol emosi saya. Akhir akhir ini saya merasa sangat sedih setiap bangun tidur jantung saya berdegup cepat dan gemetar, perasaan sy juga sangat tidak enak. saya mengurung diri dan tidak mau bertemu dengan siapapun, saya merasa kosong tapi saya juga sedih sangat sedih, dada saya sesak dan sering menangis. kadang saya berpikir ingin menghilang atau mati, sy selalu berpikir untuk bunuh diri ketika sy menghadapi situasi yg membuat saya sangat tertekan, waktu awal awal saya masih bisa mengatasinya tapi akhir akhir ini saya mulai menyakiti tubuh saya, sprti memukul kepala saya dengan benda benda keras. saya ingin hal ini tidak terjadi lagi karna sangat menganggu, saya ingin sembuh dari rasa trauma saya. Saya selalu merasa kesepian dan tidak ada yg peduli terhadap saya ttp saya juga tidak ingin dan tidak suka bergaul, mohon ;depresi
dokter, saya Hana usia saya 26 tahun.Saya telah menikah dan belum memiliki anak.Baru setahun menikah saya didera depresi karena permasalahan rumah tangga. Suami saya pernah menggunakan terlarang jenis sabu tanpa sepengetahuan saya dan menggelapkan uang perusahaan untuk judi online. Namun masalah tersebut telah selesai dengan ganti rugi dan masa tahanan. Tapi saya masih memiliki trauma terhadap suami saya, bahkan saya berkata kasar dan meneriaki dia. Tanpa saya sadari. Saya susah beraktivitas terasa malas dan kondisi kamar saya semakin hari semakin berantakan, saya merasa tak sanggup menyelesaikan pekerjaan rumah hanya mengurung diri dikamar, sesekali muncul fikiran saya untuk bunuh diri dan berpisah dari suami. Saya juga tidak memiliki nafsu makan. Saya memiliki trauma berat terhadap suami saya , saya takut dia menyakiti hati saya ;depresi
dok, saya bertubuh sangat kurus dan sepertinya semakin kurus setiap hari. Apakah jika saya mengonsumsi makanan sehat berat badan saya akan segera naik? Bagaimana kalau ada masalah pada tubuh saya?Lalu saya mungkin mengalami depresi, jadi nafsu makan sangat buruk. Saya tidak pernah makan ikan, atau daging merah. Saya pikir, mau makan sebanyak apapun saya akan tetap seperti ini. Saya ragu konsultasi ke dokter karena takut ;depresi
dok, perkenalkan saya diva.. Saya berusia 19 tahun.. Akhir akhir ini saya sering merasa stres, sedih berkepanjangan, merasa hampa,sering melamun, selalu memikirkan masa depan dan akhirnya menjadi takut sendiri.. Apakah itu sudah termasuk Depresi? Apa yang harus saya lakukan dan bagaimana cara mengatasinya Dok? Terima ;depresi
ingin bertanya knp ya saya selalu tbtb badan terasa lemas trs suasana hati saya tiba2 sedih seperti ingin menangis pdhl tdk terjadi apa2. trs dibarengi oleh rasa khawatir tiba tiba sampe kadang gemeter trs susah nafas juga dok. itu kenapa ya dok padahal saya gaada riwayat apa2 juga sblmnya.makasih sblmnya ;depresi
dok, usia saya 18 tahun, waktu itu saya terkena panic attack dan setelah itu saya dibawa ke ugd, di sana saya di ekg, di cek darah,dsb.. dan Alhamdulillah hasilnya normal semua dok, hanya asam lambung kata dokternya, lalu saya juga merasa cemas, takut waktu sesudah itu, nah keluhan saya saat ini adalah penis saya kurang bisa ereksi secara otomatis gitu dok, bisa ereksi kalau dipancing terlebih dahulu itupun juga kurang maksimal, namun pada saat tidur saya bisa merasakan ereksi tetapi saat bangun tidur ereksi nya kurang maksimal lagi dan butuh dipancing lagi jika ingin maksimal, itu gimana ya dok? oiya dan sekarang saya tambah cemas karena keadaan ereksi saya tsb. terima kasih dok ;depresi
selalu merasa tidak enakan kepada orang. Tidak bisa mengekspresikan apa yang saya rasakan sebenarnya dan selalu menyembunyikan perasaan saya. Selalu mengalah tetapi selalu menjadi pihak yang salah. Sering menangis di malam hari. Sesekali begadang karena tidak bisa tidur dan selalu merasa hampa dan kesepian tapi saya suka kesepian. Karena saya tidak punya teman, saya sangat terbuka dan bisa di bilang ekstrovert. Ceria dan selalu senang di kalayak ramai bersama teman-teman. Tapi saya benar-benar tidak memiliki teman ketika saya butuh ataupun sendirian. Tertekan dengan semua perkataan kakak saya dan permasalahan keluarga sangat menjadi beban saya. Tapi saya masih saya dianggap masih kecil dan anak yang manja oleh kakak saya tanpa tahu apa yang saya lalui di dalam keluarga. Sempat berfikir ingin bunuh diri tapi juga masih ingin hidup. Lagi-lagi saya hanya diam dan mengalah terhadap semua perkataan kakak saya. Apakah saya ada kelainan mental atau bagaimana dok? Apakah saya hanya kurang baik kepada khalayak umum ;depresi
dok, saya ingin bertanya. Saya memang didiagnosis depresi sedang oleh psikiater dan psikolog saya. Saya juga masih minum obat yg diberikan psikiater (amitripiline, clobazam, dan clozapine). Memang kecemasan saya sudah jauh berkurang, namun emosi saya masih belum stabil dok, masih sering sedih sampai nangis seharian/dua hari, apakah itu wajar? Karena saya berpikir bahwa dgn minum obat emosi saya (sedih) jadi stabil tapi ternyata ;depresi
dokk.saya serli umur 16thSaya mau menanyakan kenapa saya selalu merasa sedih merasa bersalah setiap hariDulu saat sd saya sering di bully sama temanÂ² saya sampai saya gak semangat buat sekolah,saat smp juga saya pernah di bully teman sekelas gak tau salah saya apa,saya juga gak punya sahabat buat teman cerita jadi saya selalu merasa sendiri gak semangat buat sekolah,selain itu kedua org tua saya juga selalu sibuk bekerja saya jarang bertemu org tua saya,selain gak punya sahabat saya juga merasa kesepian karna gak ada org tua saya, saya juga pernah ngalamin kecelakaan parah.saya jadi takut,saya selalu bertanyaÂ² apa lagi yg bakal terjadi besok saya takut di bully saya juga takut sendirian saya takutt.saya merasa tidak berguna,saya berfikir untuk apa saya ada disini gak ada yg mau mendengarkan saya.setiap hari saya merasa kesepian saya merasa sendirian tidak ada yg peduli dgn saya tidak ada yg menganggap keberadaan saya.Tolong dijawab dokk... saya ingin tau kenapa saya selalu merasa sedih setiap hari sampaiÂ² saya sulit untuk tidur karna saya takut hal buruk bakal terjadi sama ;depresi
berumur 19 tahun dok, udah beberapa Minggu saya suka ngeliat beberapa benda bergerak, tapi kata temen saya nggak gerak, terus saya juga sering mendengar suara suara yang sedang bertengkar, mereka seperti nyuruh saya untuk melakukan A dan yang lainnya nyuruh B. dan saya juga kadang melihat ikan terbang berkeliaran seisi rumah padahal bikan hidupnya di air bukan di udara, ini saya kenapa ya ;depresi
dok, semoga sehat sekali saya merasa kalau setiap hari saya tidak kosisten menjalani kegiatan hari2 dan tidak contoh saya kemarin sangat bersemangat sekali menjali rutinitas saya. di hari berikutnya menjadi kebalikannya, saya mempunyai pekerjaan freelance tapi terkadang pekerjaan itu sering saya tidak kerjakan karena saya tidak bersemangat. bahkan saya lebih memilih untuk tidak melakukan pekerjaan itu sampai berhari hari hingga benar benar semangat saya tumbuh dan saya mengalami ini kejadian ini kurang lebih hampir 3 ini merupakan bagian dari depresi atau hanya kurang semangat atau mood yg tidak stabil penjelasannya doc. terimakasih ;depresi
dok saya mau tanya. Jadi beberapa waktu yll saya ngobrol sama teman kuliah saya. Dan mendapati bahwa saya sudah banyak lupa tentang kehidupan kuliah saya. Padahal baru berjarak 2 tahun. Bahkan saya lupa nama dan wajah sebagian besar teman saya saat kuliah.Memang sih selama 2 tahun ini saya cukup stress dan mulai menarik diri dari kehidupan sosial saya karena beberapa alasan tertentu. Apa memang kesehatan mental saya yang menyebabkanya ? Sebenarnya ada rencana ke psikolog karena kondisi mental saya sangat mengganggu kehidupan keseharian. Tetapi saya masih ragu, apa memang perlu ke psikolog atau ;depresi
Dok, saya wanita berusia 21 tahun.Saya ingin bertanya mengenai depresi. Apa mungkin orang yang mengidapnya terlihat normal dan bahagia dari luar? Saya tidak ingin self-diagnose, tetapi untuk saat ini saya tidak punya biaya untuk pergi ke psikiater. Setiap saat saya selalu merasa ada yang mengganjal di hati saya, seperti rasa cemas. Jika sedang sendirian juga kadang saya merasa sedih dan tidak bisa mengontrol perasaan saya sendiri. Saya merasa sangat payah. Saya tahu bahwa saya memiliki kewajiban yang banyak akan tetapi saya lebih memilih melakukan hal lain yang tidak berguna. Saya merasa saya lupa siapa diri saya, bagaimana karakter asli saya. Jika perasaan itu sedang dalam, saya benar-benar merasa gelap dan seperti ada di lubang yang dalam, tidak ada yang akan memahami dan mendengar saya. Saya tidak percaya siapapun. Menulis daily journal juga kurang cukup meminimalisir perasaan ini. Tapi jika sedang bertemu teman-teman, mereka bilang saya orang yang humoris dan lucu. Bisakah anda membantu saya mengetahui apa yang terjadi pada saya? Terimakasih banyak, ;depresi
dok saya adi , saya mau bertanya ini kondisi ayah saya sudah tidak mau makan selama 3 bulan awal nya beliau kehilangan pekerjaan kaena pandemi setelah itu beliau mulai mururng dan kehilangan selera makan dan tidak mau untuk keluar rumah, sampai saat ini sudah 3 bulan sejak beliau di rumah saja, makan yg di konsumsi 1 hari hanya 3 sendok makan saja dan minum seteguk air, sekarang berat badan nya sudah tinggal 38 kg dari awal nya 65kg , kondisi semakin buruk karena beliau sudah tidak mau jalan dan bangun, bibirnya mengalami jamur berwarna putih dan hanya tidur terus, apa yang harus saya lakukan dok untuk menyembuhkan ayah ;depresi
dok, izin bertanya. saya perempuan usia 21tahun. beberapa waktu yg lalu saya kehilangan org yg penting buat saya. setelah itu saya sering menangis, dapat dikatakan setiap pagi bangun tidur dan malam sebelum tidur menangis. saya tidak dapat melakukan aktivitas dengan baik, bahkan saya sampai terjatuh karena tidak fokus. sering kali saya juga merasakan sakit hati dan sedih namun saya malah tertawa. dada saya sering terasa sesak dan sakit. saya juga insomnia, hanya tidur 3-4jam dalam sehari. saya sering melamun dan secara tiba2 terjadi prubahan pada mood saya. saya kehilangan selera makan, melakukan aktivitas, dan terjadi penurunan berat badan yang drastis. saya seperti ini sudah hampir 2 minggu. lalu apa yang harus saya ;depresi
siang dok saya mau bertanya. Sekarang saya umur 21 tahun saya sekarang-sekarang ini sering merasa sedih berlebihan dimalam hari sampai saya sedang nangis bercampur emosi terus teringat masa lalu saya dimarahi orang terdekat saya jadi ingat terus takut menangis merasa trauma dok, sampai saya menggores ketangan kiri saya menggunakan pulpennyg tinta merah sampai membekas luka sampai saya kepikiran mau menghilang dari kehidupan ini dok dan juga meniat mau beli obat penenang kalo saya datang rasa sedih lagi dok, tolong dok sarannya buat saya.Terima kasih ;depresi
"pagi Dok,Saya adalah seorang pria berumur 20 tahun, dari dulu hingga kini banyak sekali hal yang berubah pada diri saya, seperti :1. saya kehilangan minat saya dalam melakukan aktifitas yang saya sukai sebelumnya ( hobi ); 2. jadwal pola makan saya berantakan, saya makan jadi terlalu banyak tetapi tubuh saya capek;3. Terkadang setiap malam saya sering kesulitan untuk tidur, saya tidur hanya 3 s/d 4 jam saja.4. Entah mengapa saya selalu merasa kehilangan semangat hampir setiap hari;5. Ketika saya sedang berkumpul dengan temanÂ² saya, tetapi saya seringkali merasa sendirian.6. Saya jarang curhat, alasannya bukan karena tidak ingin berbagi atau tidak percaya dengan sahabat saya sendiri tapi karena saya bingung saya harus memulainya dari mana / harus berkata apa ?7. Setelah lulus dari sekolah saya sudah tidak berkomunikasi dengan temanÂ² saya, saya lebih sering berada dirumah tepatnya dikamar8. Sekarang saya sudah jarang merawat diri saya, entah saya terlalu capek untuk melakukan aktifitas, saya bawaannya hanya mau tidur9. Saya merasa kosong, hidup saya percuma, tidak ada yang perduli dengan saya pikirkan ini hampir datang setiap hari10. Dulu ketika masih bersekolah di SD ( kelas 3 / 4 ) saya sudah ada keinginan untuk bunuh diri tapi hanya baru tapi semakin bertambahnya umur pikirkan itu semakin parah hingga kini muncul gambarÂ²an tentang bunuh diriApakah saya sedang berada difase depresi ya dok ? Dan saya harus melakukan apa ?, saya ";depresi
