kalimat;tag
Amanda, mahasiswa baru semester berumur 18 mulai ospek, saya mulai mengalami gangguan tidur yang parah, saya tidak bisa tertidur dibawah jam 02.00 AM, seminggu belakangan ini malah semakin parah, saya tidur di kisaran jam 4 atau 5 kemudian akan bangun di jam 7 atau 8 dengan bantuan alarm karena ada perkuliahan. Berat badan saya juga menurun secara bertahap walau memang tidak signifikan karena saya tergolong gemuk. Kemudian saya mulai sering melihat objek diam terutama tulisan yang bergoyang, terkadang bergerak dengan lumayan keras. Sempat terpikir untuk membeli obat tidur dok, tapi saya takut ketergantungan terhadap obat dokter memiliki rekomendasi obat yang bisa saya beli? atau ada cara lain selain dengan obat ;insomnia
dok. Saya berusia 21 tahun belakangan ini saya susah sekali tidur malam dan itu berlangsung berhari hari bahkan sudah seminggu. Untuk pertama kali nya saya mengalami ini. Jika tidak mengkonsumsi obat tidur maka saya tidak bisa tidur. Kaki dan tangan saya terasa keram. Jadi saya harus segara memeriksa ke dokter? Saya lelah harus meminum obat tidur. Terima kasih ;insomnia
dok, saya puji usia 23 thn. Sya mau bertanya, sya tipikal org yg ceria dan friendly,dan suka keramaian. tapi skrg kenapa ya malah sebaliknya?? sya lebih menutup diri untuk kenal sma org baru,dan yg sudah kenal pun skrg hanya sebatas sya lebih suka menyendiri tidak mau diganggu. kenapa ya mood saya cepat banget berubah yg tdinya bahagia ketawa² trs tiba² bisa nangis gtu aja tanpa sebab dan itu terjadi berulang² kali. saat sya kesal atau marah sma seseorg yg tdinya bisa langsung mledak ledak skrg sya lebih banyak suka dipendam aja dan diam. sampai² jatung sya detak nya kencang bgt nafas gakberaturan dan jdi gemetar. klo sya lagi merasa tertekan kadang suka jedot'in kepala ketembok juga karna rasa pusing nya tuh pusing bgt dok,saya mikir apa sya punya masalah gangguan jiwa? tapi sya gakpernah sampe barcode² tangan sya pake silet, sesekali sempat terlintas juga pikiran untuk bundir saat masalah yg sya hadapi terlalu banyak dan memojokan, sebatas pikiran aja sih gakpernah sya lakuin untuk bundir. tapi klo lagi dibangunan yg tinggi suka penasaran ini klo gue lompat langsung mati apa engga ya, trs klo lagi pegang pisau mikir gimana rasanya ditusuk yaa haahaha random aja gtu dateng pemikiran kayak gtu. oh iya trs sya juga kalo lagi banyak pikiran mendadak pengen makan sebanyak mungkin tapi juga kadang gakpengen makan seharian. jam tidur saya makin parah yg tdinya jam 12-1 mlm sdh bisa tidur skrg jadi jam 4/5 pagi baru bisa tidur. oh iyaa saya perokok aktif dok, apalagi klo tekanan makin banyak saya bisa habis 2-3 bungkus sehari, apakah itu ;insomnia
dok, saya sudah 14 hari tidak bisa tidur sama sekali di malam dan siang hari. saya sudah ke dokter sp.pd lalu ke ahli psikosomatik konsul dengan beberapa dokter lainnya dan obat tidur yang diberikan rata2 sama dari beberapa dokter dan sudah diresepkan obat tidur tapi anehnya saya masih belum bisa tidur malah setelah ditambah dosis obat tidur oleh dokter tetap tidak bisa tidur. seringnya saya hanya bisa tidur di hari pertama ganti obat bisa tidur di 2-3 jam lalu hari selanjutnya kembali tanpa tidur sama sekali padahal saya mengkomsumsi obat yang sama.Lalu saya berpikir apa mungkin ada masalah dengan mata saya, saya mau bertanya apa pernah ada orang yang terkena saraf mata tidak bisa tidur sama sekali seperti saya? saya seperti orang yang tidak punya rasa kantuk. Mohon diberikan tanggapannya ;insomnia
dok saya mau tanya...saya akhir akhir ini tidak bisa tidur sampai mata merah,badan lemas dan sakit,lidah mati rasa kenapa ya kira kira ;insomnia
saya mahasiswi (20) sejak sma saya merasakan sakit di area dada kiri saya, rasa sakitnya seperti tersengat dan terkejut di bagian dalam dada kiri (bukan payudara) nah semenjak covid-19 saya mengonsumsi vitamin dalam jangka waktu sekitar 2 bulan, skrg tidak lagi. Dan apakah aman jika saya mengonsumsi obat herbal untuk membantu tidur? Saya juga menderita insomnia, dan tidak bisa tidur di jam normal meski lelah. Bagaimana ya dok? ;insomnia
saya tadikan abis minum obat flu terus ngga bisa tidur padahal saya ngga kuat sm mampetnya dan pusing, kalau saya makan jelly olly sleep yang suplemen tidur itu apakah boleh? terima kasih ;insomnia
mau nanya saya telat haid 15 hari sebelumnya bulan kemarin saya telat 5 hari , dan pada saya tespeck hasilnya negatif dan tidak ada gejala hamil sekali pun sampai sekarang,. bulan kmaren emang pola hidup saya nggk teratur dok sering begadang , aktivitas yg berat dan olahraga nggk teratur. apa itu penyebabnya ;insomnia
dok, saya perempuan 20 tahun. Belum menikah.Hampir sebulan lebih ini kepala saya sering sakit kepala seperti migraine yang disertai mual seperti ingin muntah. Gigi dan rahang saya juga terkadang terasa sakit saat sakit kepala saya muncul. Dan juga saya jadi sangat sulit tidur. Kadang, meski sudah diam dan menutup mata hingga sejam, saya tetap tidak bisa tidur. Karena itu saya kadang masih belum tidur hingga besok pagi nya. Aktivitas saya juga hanya belajar di rumah. Apakah obat tidur bisa jadi solusi nya dok? morhon ;insomnia
dok, saya berusia 19 tahun sejak maret 2020 saya sering sekali begadang karna sekolah online (tidak ada aktifitas keesokan hari) lalu berkelanjutan sampai sekarang. saya sering sekali mencoba untuk tidur tepat waktu tapi nggak ada hasilnya. saya memejamkan mata namun saya sadar apapun yg disekitar saya, sampai 3 jam atau lebih menutup mata tapi tak kunjung tidur,ketika saya membuka mata rasanya saya habis tidur. ketika saya memejamkan mata saya memikirkan banyak hal. jika saya ada masalah sedikit saja yang membuat saya kepikiran saya tidak akan bisa tidur seharian. kepala terasa sakit dada rasanya degdegan. dan saya baru bisa tidur ketika jam 9 pagi dan terbangun jam 5/6 sore. Saya melihat teman saya mengalami susah tidur dia minum obat sakit kepala lalu dia bisa tertidur. Saya tipikal org yg susah minum obat, kalaupun sakit saya hanya perbaiki pola makan dan banyak makan buah,saya tidak memiliki riwayat sakit keras dan saya jarang sakit, bisa diperkirakan dalam setahun saya mengalami demam 2-4 kali saja. Kira-kira apakah saya ada penyakit ya dok? Atau apakah langkah yg harus saya lakukan selain meminum ;insomnia
