kalimat;tag
"""Selamat pagi, dok. Saya ingin konsultasi masalah gejala yg saya alami. Lebih setahun lalu ketika saya sedang berjalan, tiba2 kepala saya sangat sakit disertai penglihatan yg tiba2 putih, setelah itu saya langsung jatuh, tidak mampu berdiri. Kedua kaki saya langsung lumpuh, tdk bisa bergerak. Namun saya masih sadar dan anggota tubuh saya yg lain masih bisa bergerak. Dan itu berlangsung selama lebih 1 jam. Kira2 apa penyebabnya, dok? Beberapa hari lalu juga, karna sempat panik, tiba2 saya sesak napas, kedua tangan saya memutih, dingin dan sangat kaku. Lama2 kedua kaki saya juga jadi tidak bisa digerakkan. Saya tidak memiliki riwayat penyakit asma. Apakah itu gejala penyakit tertentu? Adakah kaitannya dgn gejala2 pertama?"" ";kecemasan
"""dok apakah rasa cemas yang berlebih terhadap kondisi fisik dapat diartikan sbg anxiety disorder?saya selalu cemas apabila ada sesuatu yg kurang enak di badan saya,misalnya nyeri di usus saya langsung menyimpulkan polip,nyeri di punggung saya langsung menyimpulkan sakit ginjal,dan karena pikiran saya sendiri yg langsung menyimpulkan itu justru makin membuat saya cemas dan takut mengalami penyakit2 tersebut,belakangan saya juga merasa takut sering buang air kecil,bab tidak teratur,detak jantung tak beraturan,perut terasa tidak enak, itu termasuk efek dari stress atau penyakit saya adalah gerd sekitar 3 bulan yg lalu"" ";kecemasan
"""Dok saya mau tanya, saya selalu tidak suka berad di luar rumah, terlebih harus bergabung dengan orang orang baru yg benar2 belum saya kenal. Saya merasakan kesedihan yang luar biasa dan kesepian apabila jauh dari rumah dan keluarga, sudah berkali-kali saya dikirim ke luar kota dan hasilnya sama, saya merasa down, kesepian, hopeless, menangis di kamar, ingin menghindari segala hal dan saya selalu merasa lebih nyaman di kamar berjam2 lamanya. Saya sering menghindari acara-acara sosial apabila saya sama sekali tidak mengenal orang2nya. Ketika kuliah saya juga sering menangis krn ketakutan. Saya menjadi agak terbiasa ketika beberapa bulan kemudian tetapi saya tetap merasa takut akan penilaian org kpd saya sehingga saya sering menutup diri dan tidak menjadi diri sendiri. Saya jg sering ketakutan untuk mnta tlng kpd org lain di luar keluarga, pasangan, dan teman dekat. Saya selalu takut dgn penilaian org terhadap saya, saya juga takut terhadap kegagalan dan penilaian yg buruk. Belakangan saya sering menangis krn ketakutan bekerja di sekolah baru sebagai pengajar yg tdk tahu apa2 dan semua harus dikerjakan sendiri dan saya jg tdk memiliki teman sebaya. Saya merasa takut apabila diperhatikan terus menerus, berada dalam penilaian seseorang dan merasa tenang apabila hal itu dapat saya saya mengalami gangguan kecemasan sosial? Krn saya merasa sungguh cemas untuk kembali ke kantor baru saya. Bagaimana dan apa pengobatan yang cocok untuk mohon responnya:)"" ";kecemasan
"""Dok boleh ke penyakit nyctophobia sembuh tanpa rawatan klinik atau hospital. Atau ada rawatan semulajadi ???"" ";kecemasan
"""dok, sekitar 6 bulan lalu pas saya tidur tiba tiba kebangun ditengah malam karena ada rasa terbakar di leher, dan kalau tidak salah saat itu pas saya mau tidur saya meminum kopi, nah beberapa menit kemudian, ada perasaan aneh pada diri saya, seperi saya akan mati ditempat pada waktu itu, ditambah jantung berdebar, kesulitan bernafas, tapi tidak dibarengi rasa sakit sekarang terkadang perasaan takut mati/takut sakit itu masih terus ada, saat saya sakit kepala ringan saja, saya langsung berfikir yang tidak tidak, setelah saya cek ke puskesmas saya malah dikasih obat asam lambung, yang saya bingungkan, kalau memang asam lambung, kok bisa sampe menggangu pikiran ya dok?"" ";kecemasan
thn 2008 mulai kena depresi sampai skrg tdk sembuh cuma seperti nya beda depresi nya kalau awalnya depresi saya ketakutan spt takut mandi tutup pintu, takut cuci rambut krn tersedak air nya jd tdk bernapas jd mati kdg2 makan pu takut tersedat mati dan takut kena air hujan dn masih banyak tp heran nya ketakutan ini bis atdk ada kalau ada banyak orang disekeliling kita terutama kalau mereka mau mendengarkan saya ceritakan masalah saya atau sama2 bicara shg tdk teringat soal takutnya atau krn banyak orng ramai disekelilingi saya shg rasa takut nya jd hilang sementara krn kalau sepi orang akan balik lg rasa takut nya datang lalu saya ke dokter dikasih obat lexapro 10mg begitu pertama minum terasa di hati saya panas seolah olah obat tsb melawan rasa takut nya itu dan diminum setiap hari mau tidur atau malam hari sampai 2thn kemudia di nyatakan dokter tdk perlu minum alias sdh baik tp 2thn pertama hanya dlm 1minggu penyakit lain muncul spt batuk sakit kepala sakit tenggorokan dan sakit lain nya tdk ingat apa saja kira2 ada 7macam sakit nya saya balik ke dokter katanya itu penyakit nya balik atau kambuh lg jd disuruh minum balik obat nya dan sampai 2thn lg dinyatakan sembuh dan dlm 2minggu atau lbh dikit rasa nya sama krg enak dan dokter mengatakan minum obat lg dan 2thn yg ketiga jg sama baik tp kambuh lg shg saya tdk yakin penyakit saya bisa sembuh jd saya sendiri lanjt minum obat asal merasa krg enak depresi nya tp cara minum nya tdk sesuai spt anjuran dokter dulu yaitu pertama minum1butir obat selama lbh krg 6bulan lalu 6bulan kedua jd 3/4 butir dn 6bulan ke tiga jd 1/2butir lalu 6bulan ke empat tinggal minum 1/4butir yg arti nya 2tahun pas selalu dinyatakan sembuh dst skrg suka2 saya kalau merasa depresi datang kdg2 minum 1/4 butir atau 1/2butir kalau berat 1butir dan minumnya pun suka2 kdg2 1 atau2 hari atau paling lama seminggu hbs ngak dtg saya tdk minum dan strsnya dan skrg sdh berjalan 9tahun tp semenjak tahun ke 8 saya sdh beda sakit depresinya yg awal nya merasa takut sekarang depresi hanya mersa kesedihan saja shg semangat hidup nya spt tdk berguna tdk atau malas kerja kdg2 makan tdk ada selera dan kdg pingin mati saja tp catatan cara mati nya saya takut hanya berani minta mati dgn tidur malam dan mati didlm ketiduran kalau mati dgn bunuh diri takut sakit dsb dan malam selalu susah tidur krn banyak pikiran tp kalau siang atau pagi nya suka kali tidur dan bisa tidur begitu lah kira2 penyakit saya yg saya bisa jelaskan dan yg saya mau tanya apa penyakit saya ini bisa sembuh lg krn sdh berjalan 9tahun dan hrs bgm baru bisa sembuh apa obat atau jalani rohani spt dengar ceramah agama dll atau bgm mohon bantuan nya kalau obat, oabt apa dan kalau lain hrs ke dokter physkolog ke mana dan apa lg yg saya lakukan supaya bisa sembuh dan maaf sebelumnya mgkn bahasa dan tulisan saya susah dimengerti krn saya krg pandai menulis terima kasih ;kecemasan
"""Selamat siang dokter? Saya tyas berusia 21 tahun.. Sudah satu minggu ini saya merasa ketika bernafas kurang plong, selesai beraktifitas terasa sangat lelah padahal pekerjaan saya sehari-hari hanya kuliah dan sorenya les privat keliling., ketika badan terasa lemas pasti keluar keringat dingin dan nafas kurang plong, dan kecemasan selalu cara penyembuhannya dok? terimakasih.."" ";kecemasan
"""Selamat malah dok, saya ibu 1 anak dengan usia 17 bln. Setahu saya kedutan diperut hanya dialami ketika hamil saat usia kandungan mulai menginjak usia 4 bln. Sejak anak saya berusia 2 bulan sya mulai memakai kb (kb suntik 3 bln) tetapi suami saya merasa anak sya trkena efek dari kb karna bandannya yabg smakin menyusut menayarankan berhenti kb untuk sementara, dalam 1 bln trakhir sayapun tidak memakai kb, bobot saya anak meningkat drastis. Dan akhir2 ini saya sering merasakan kedutan didibagian perut atas sbelah kiri. Haid sya jg lancar dok,kira2 knp y dok? Apa krna sya ggemuk maka perut mnjadi sering brkedut? Atau gejala dari penyakit? Bahaya atau tidak jawabannya dok,terimakasih sebelumnya ð"" ";kecemasan
"""Halo dokter, saya cukup sering mengalami kecemasan yg berlebihan 4 bulan terakhir ini. Seperti pikiran yg negatif dan cukup mengganggu konsentrasi saya. Hal yg plg sering saya pikirkan adalah seperti atau yg menyebabkan terdekat saya meninggal, bahkan saya sering membayangkan org terdekat saya bagaimana ia meninggal hingga saat prosesi pemakaman dsb. Hal itu sangat mengganggu saya dan menimbulkan kecemasan pada saya, sehingga jadi lebih protektif, merasa parno, dan lbh intens memperhatikan terdekat saya. Apakah karna pemikiran dan kecemasan negatif yg saya alami bbrpa bulan terakhir ini menyatakan bahwa saya terkena dokter."" ";kecemasan
"""Selamat pagi jelaskan dulu latar belakang saya. Saya perempuan berusia 26 tahun belum menikah, bergelar sarjana namun tidak bekerja. Saya memiliki tubuh gemuk dan tidak memiliki rasa minder yang besar sejak kecil. Awalnya saat SD saya malu hanya untuk sekedar menjawab pertanyaan di papan tulis, tapi ternyata semakin hari rasa minder saya semakin SMP di kampung sendiri, pembulian dr teman2 semakin keras. Saat itu saya nggak nyaman tapi saya berusaha utk tenang dan tertawa saja. Kadang ada juga tetangga atau orang yang menyebut saya besar, gajah, kulkas, kerbau dll. Tapi ya itu, saya berusaha tenang saja meskipun akhirnya saya jd tidak suka dg diri saya sendiri dan melabeli diri saya SMA, saya bersekolah diluar kota. Saya sangat nyaman. Orang kota memang lebih open minded dg perbedaan ukuran badan org lain. Namun pembulian di sekolah tetap terjadi meskipun tdk seintens saat SMP. Saya tetap tidak berani presentasi maupun pakai baju olahraga. Saya takut orang lain diam2 menilai atau ngomongin saya di saya jg sering bicara bhw saya besar sekali. Ibu dan Ayah saya kadang bilang saya utk diet. Ibu saya sampai beli obat2an dan alat utk saya. Saya mencobanya utk menyenangkan ibu ayah yg paling berkesan adalah omongan dr kakak. Kakak pertama saya pernah bilang bhw saya tidak perlu ke pasar utk membantu org tua berjualan karena dia malu setiap sy lewat org2 melihat ke arah saya (mungkin krn sy kakak saya yg lain mengatakan saya tidak perlu mandi karena tidak akan ada orang yg akan menyukai saya down sekali waktu itu. Berasa tidak pny seseorang yg menerima sy apa adanya. Saya jd bertanya2 dlm hati, apa salah saya sampe saya di perlakukan ky saya kuliah di luar kota. Saya myaman sekali di luar kota. Pergi kemana2 sendiri, bahkan ke mall sendiri pun saya ke tempat baru adalah satu hal yg tidak pernah saya lakukan dulu di lingkungan saya. Alasannya karena saya ga pgn ketemu org yg saya kenal dan kmdian ngomongin saya. Tp kalo di tempat baru yg ramai tanpa byk org yg kenal, saya malah santai ini saya disuruh ke balaidesa utk mengurus SKCK. Tp blm apa2 saya sudah takut duluan. Cemass nanti ktmu org2 yg sy kenal. Jantung rasanya dah di remas sebenernya sy kenapa ya dok.saya takut sekali ";kecemasan
