kalimat;tag
siang Dok, izin menyampaikan dan bertanya mengenai kecemasan saya tentang skizofrenia. Jadi begini dok, ayah dari pasangan saya mempunyai adik (Om nya pasangan saya) yang mengidap skizofrenia. Dari yang saya baca, skizofrenia merupakan penyakit keturunan.Yang ingin saya tanyakan, apakah dalam kasus diatas, jika saya dan pasangan saya menikah, skizofrenia tersebut dapat menurun kepada keturunan kami ya dok?Mohon arahan dan ;skizofrenia
sore dok, saya wanita berumur 26thn, saya ingin menanyakan sakit yg diderita teman saya dok, jadi teman saya ini suka bercerita dengan saya, dia selalu merasa ada yg sedang memperhatikan dia dimanapun dia berada, teman saya sampai bilang ada disitu, tapi kita gak bisa liat, karna dia pake dan saya tau, tidak ada disitu, dan benar saja, setiap teman saya video call pacarnya, pasti sedang di tempat kerja / ditempat lainSelain itu, teman saya ini juga suka mengecek sesuatu secara berulang, dia bilang ke saya, dia udah ngecek, tp ko kaya ngerasa belom? Jadi dia cek terus dokDok mohon masukannya, teman saya ini masuk kategori delusi , halusinasi atau apa ya dok? Karna saya khawatir, saya mau ajak dia ke psikiater, tapi saya takut dia tersinggung dok, terima kasih dok sebelumnya ;skizofrenia
siang dok,izinkan saya menceritakan awal nya seperti apa.. jadi ketika saya masih SD saya selalu mendapatkan perlakuan kasar atau tidaak mengenakan dari orangtua saya terutama ibu saya,sejak SD saya sudah mendapatkan kekerasan (seperti digebukin,ditarik baju saya dari sekolah sampai rumah dan hampir mau dibunuh ketika saya SMP) semua yg dilakukan ibu saya hanya karena saya main dengan teman2 saya,bahkan ketika saya SMA saya izin untuk latihan nari untuk ujian praktik saja saya langsung diusir dengan ibu saya karena saya tetap nekat untuk ikut pelatihan,perlakuan itu terjadi sampai sekarang ketika saya sudah bekerja.. bahkan tidak hanya perlakuan yg tidak mengenakan,saya sering mendapatkan kata2 yg tidak mengenakan (seperti pea kamu,gila,nyusahin aja hidupmu),hingga akhirnya sekarang saya takut untuk berlama2 kumpul dengan orangtua saya,saya jadi benci ke orangtua saya sendiri,saya sekarang selalu merasa takut jika harus pulang kerumah dok dan tahun lalu saya pernah melakukan percobaan bunuh diri,saya menyanyat tangan saya,saya meyakiti diri saya sendiri dan ketika saya merasa stress dan sedih karena orang rumah saya selalu lari ke rokok dok.. saya rasa sekarang saya butuh pertolongan karena saya rasa gakuat dan saya capek sendiri kalo harus nangis terus2an dan mendam semua nya sendiri,mohon bantuan dan solusi nya dok. terima ;skizofrenia
dok kenapa saya setiap melakukan sesuatu seperti ada yg bisikin melakukan hal yg berbahaya , contohnya kalo saya lagi nunggu kereta ada pikiran untuk meloncat saat kereta mendekat atau saat saya pegang pisau untuk masak ada pikiran tusuk anak saya itu kenapa ya kadang saya tahan itu sampe harus fokus sampe rasa pengen nya itu ;skizofrenia
ingin bertanya.Anak saya usia 7th. Dia suka melihat youtub tentang youtuber yg mengomentari game2 terbaru. Seperti komentator bola yg mengomentari pertandingan bola itu. Nah anak saya jadi punya kebiasaan bicara sendiri seperti itu,apalagi kalau sedang main game.Yang jadi pertanyaan,ketika dia tidak main game,dia tetap bicara sendiri mengomentari game hayalan yg dia mainkan. Apakah itu normal dok?Bagaimana cara menyembuhkanya?Dia lebih suka bicara sendiri daripada bermain dengan kawan2nya.Trimakasih buat ;skizofrenia
dokIzin nanya, tadi baru saja melakukan cukur rambut dan tiba2 saya menyadari kedua tangan saya melipat seperti akan berdoa, namun kedua tangan saya saling menekan seakan ingin mematahkan jari-jari. Dan kaki saya tiba2 melipat membentuk silang, dimana kaki kiri yang ada di depan. Setelah saya menyadari kedua hal tersebut, saya mencoba untuk rileks dan tenang, namun tiba-tiba kejadian yang sama terulang kembali, dan malahan kulit jari tangan saya sampai terkelupas.Mohon dok penjelasan nya.Dan untuk tambahan, saya orang nya lebih suka menyendiri dan susah untuk berbaur dengan ;skizofrenia
dok saya mau tanya lagi, kakak saya terkadang punya pikiran aneh. Seperti halnya tadi pagi, dia bercerita semalam ia berjanji kepada dirinya sendiri, janjinya itu gini dok kakak saya bangun lebih dari jam 9 pagi, maka ia akan memukuli dirinya sendiri sampai ia merasa kesakitan dan minta dan beruntungnya kakak saya bangun pada jam 9 kurang pagi tadi, alhasil kutukan memukuli dirinya sendiri itu tidak ia lakukan. Yang lebih ekstrim dia juga pernah buat taruhan yang melibatkan nyawa seseorang, ancaman itu adalah ancaman dirinya sendiri untuk membunuh orang yang menjadi target taruhannya. Dia juga sering mengecek kulkas bolak-balik dalam beberapa waktu, padahal keadaan kulkas masih sama saja ga ada yang berubah. Kira-kira ini penyakit bukan dok? Jika penyakit namanya apa dok? Dan penanganan nya seperti apa? Terima ;skizofrenia
dok. saya mau tanya, mama saya pengidap skizofrenia tapi selalu merasa sehat dan tidak terima jika disebut sakit. jadi sulit untuk memberikan obat karena selalu menolak. apakah ada cara untuk dicampur kedalam minuman/makanan? apa saja makanan/minuman yang tidak boleh dicampur dengan obatnya? terima ;skizofrenia
penenang untuk penderita halusinasi pendengaran itu apa dok?Soalnya ibu saya tidak mau diperiksa ;skizofrenia
dok, saya ingin menanyakan kondisi saya yang akhir akhir ini agak mengganggu. Saya sering sekali berimajinasi sebagai karakter utama dari sebuah film/novel/komik ketika saya melihat benda yang mirip dengan benda yang digunakan oleh karakter utama tersebut. Semisal ada kayu yang berbentuk seperti pedang, maka saya langsung mengimajinasikan saya menjadi karakter utama dari karakter utama dari film/novel/komik yang menggunakan pedang. Saya sudah lama mengalami hal tersebut, akan tetapi akhir akhir ini hal tersebut semakin intens dan di ikuti dengan ingatan memalukan di masa lalu. Apakah yang harus saya lakukan ;skizofrenia
