kalimat;tag_bipolar;tag_depresi;tag_insomnia;tag_kecemasan;tag_skizofrenia
anak saya usia 20 tahun laki laki waktu usia 3 tahun sudah melakukan eeg hasilnya adhd hyperaktif dan autis sudah diterapi sudah berobat ke psikiater tapi belum sembuh menginjak usia 20thn gejalanya lebih ke skizofrenia dengan membaca ciri2 dari berbagai macam artikel apa yang harus saya lakukan untuk mengobati penyakit anak saya;0;0;0;0;1
apa penyebab dan gejala proses pikir blocking pada gangguan jiwa dan bagaimana cara penanggulangannya;0;0;0;0;1
apa penyebabnya penyakit skiyozopenia;0;0;0;0;1
apa solusi untuk orang yggampangtersinggung dan marah marah;0;0;0;1;0
assalamu alaikum pak bu dokter saya mau tanya kan saya punya saudara nah saudara saya tuh beberapa tahun sebelum nya mengalami pelecehan seksual tapi sebelum nya saudara saya ini sering ketakutan setelah kejadian pelecehan seksual saudara saya mengalami gangguan jiwa hingga sekarang ini yang lebih parahnya lagi saudara saya ini beberapa bulan sebelum saudara saya sering berbicara ngelantur gonta ganti topik yang saya tanyakan bagaimana pak cara nya mengobati hal seperti ini terus ini termasuk gangguan seperti apa terimakasih mohon di jawab ya pak bu;0;0;0;0;1
assalamualaikum saya mau tanya gejala skizofrenia sudah akut itu bagaimana ya;0;0;0;0;1
assalamualaikum saya ada gangguan tidur jadi setiap saya tidur lalu nanti sekitar jam 2 3 malam itu saya selalu bangun dan susah untuk tidur lagi bagaimana ya cara mengatasi nya dan itu apa penyebab nya;0;0;1;0;0
assalamualaikum wr wb saya indri saya mau bertanya apa penyakit dengan gejala seperti cemas dan gelisah yang berlebihan jantung berdebar keringat dingin rasa akan mengalami kematian dan tiba-tiba tubuh saya gemetar lalu lemas seketika penyakit ini kadang datang jika saya sedang datang bulan atau juga tidak bisa diperkirakan tapi gejalanya timbul diwaktu tahun lalu saya pernah mengalami hal aneh seperti kerasukan setelah sembuh gejala yang sering terjadi seperti yang saya sebutkan bantuannya ya penyakit saya dan bagaimana cara kasih;0;0;0;1;0
bagaimana jika saya terindikasi skizofrenia tetapi saya paksakan bekerja padahal pikiran saya belum stabil;0;0;0;0;1
bagaimana memperlakukan pasien skrizofrenia obat yang selama ini di minum haloperidol dan pasien untuk saat ini enggan minum obat dan halusinasi nya selalu di mengikuti bagaimana langkah terbaik yang harus di lakukan;0;0;0;0;1
begini saya selalu takut sama takut nya tuh karena takut merebut pasangan berpikiran suatu hari saya kayak setiap malam sampai enggak pikir nya pun aku masih pengin sudah berdoa sama tuhan rasa mau tinggalkan dunia saya tidak harap dokter kasib tau apa yang terjadi terhadap harap saya tetap jadi orang enggak rbt siapa menyenangkan hti mma dan yesus deh ckl;0;0;0;1;0
apakah skizofrenia dapat menghambat hgh human growth hormone apa pengaruh skizofrenia terhadap hgh;0;0;0;0;1
3 tahun yang lalu saya pernah merasakan ini juga selama satu tahun tapi setelah itu sebulan yang lalu saya merasakan lagi yang saya rasakan adalah saya sering menangis tapi tidak jelas alasannya sering cemas tanpa alasan alasan yang sangat sepele jantung berdebar sampai saya bisa mendengar dan merasakan jantung saya berdetak beberapa bagian tubuh saya kebal dan kadang tibatiba beberapa bagian tubuh saya terasa sakit sulit berkonsentrasi dan sekalinya mencoba badan saya tidak enak suhu badan saya tidak konsisten naik turun saya juga sempat hypersomnia selama 17 jam tapi seringkali terbangun dan saat terbangun cemas lalu saya juga mengalami halusinasi tolong dibantu ya;0;0;0;1;0
boleh ke penyakit nyctophobia sembuh tanpa rawatan klinik atau hospital atau ada rawatan semulajadi;0;0;0;1;0
ini saya merasakan dejavu seperti mengulang kejadian yang pernah terjadi atau seperti melihat masa depan contohnya saat ujian minggu kemarin saya sudah melihat soal yang belum saya ketahui jadi sebelumnya saya mencari jawaban dari soal tersebut terus besoknya soal itu keluar semua jadi jawaban saya banyak yang benar terus ada lagi kejadian saat saya hampir kecelakaan tetapi saya menghindari kecelalaan tersebut karena saya sudah mengetahuinya kejadian ini hampir 1 tahun saya rasakan saya harus bagaimana apakah ada obat yang bisa menyembuhkan entah penyakit apa ini bagaimana cara menyembuhkannya;0;0;0;0;1
kenapa saya selalu rasa cemas tanpa sebab saya kerap bersendirian dan tidak suka bersosial dengan keluarga dan kwn saya lebih suka dan selesa bersendirian saya selalu berdebar dan sesak nafas walau bersendirian;0;0;0;1;0
saya disuruh sama dokter saya minum obat excimer 2 kali sehari clorilex 1x sehari dan ariski ariripirazole 10 moga 1 kali sehari yang saya tanyakan itu bahaya sidok bwat kesehatan saya saya tidur lama banget truzz sehariann bawaanya ngantuk dan lemes yang paling saya takutin excimer soalnya banyak pelajar memakai itu obat secara illegal;0;0;0;0;1
saya mau tany mengenai skizofrenia dan manic depression apakah itu sama atau beda soalnya keluarga saya ada yang mengalami sakit jiwa dia sering emosi menyerang orang lain sering bicara sendiri lalu tertawa kalau saya dlht skizofrenia seperti itu kalau manic depression juga sama;0;0;0;0;1
saya mau tanya untuk berhenti kecanduan obat trihex selain rehabilitasi ada cara lain enggak mohon bantuannya;0;0;0;0;1
saya mau tanya saya adalah seorang ibu rumah tangga usia saya 47 tahun saya mengalami tidak bisa tidur selama 6 bulan saya sudah coba berobat di dokter psikiater selama 5bln dan yang ke bulan 5 obatnya kenapa tidak mempan untuk saya dan saya tetap tidak bisa tidur solusinya bagaimana saya harus kemana;0;0;1;0;0
saya mau tanya saya punya teman dan dia itu mengeluh kalau misalnya dia lagi dalam keadaan tidak nyaman pasti tangan dan kakinya gemeteran bahkan kadang suka reflek buat lari ataupun loncat saya tanya kapan mulai suka kayak begitu dia bilang mulai pertama kalinya itu pas kedua orang tuanya lagi bertengkar itu kenapa ya;0;0;0;1;0
saya mau tanya saya punya teman umur 23 tahun dia itu suka bilang kalau dia lagi sakit parah tapi tiap2 ke dokter dia itu gapapa jadi kayak cuma perasaan dia saja begitu sama dia itu suka merasa punya pacar tapi sebenarnya enggak ada terus suka senyum bahkan sampai teriak2 enggak jelas padahal enggak ada pemicunya jadi kayak ngehayal sendiri begitu sekarang dia jadi lebih suka ngelamun suka mengomong sesuatu yang sebenarnya dia juga enggak tau kayak tiba-tiba dia bilang bisa lihat hantu atau dia merasa kenal sama seseorang yang sebenarnya orang itu enggak kenal sama dia menurut dokter itu kenapa ya apa ada hubungannya sama kejiwaan dia ya terimakasih sebelumnya;0;0;0;0;1
saya mau tanya saya selalu tidak suka berad di luar rumah terlebih harus bergabung dengan orang orang baru yang benar-benar belum saya kenal saya merasakan kesedihan yang luar biasa dan kesepian apabila jauh dari rumah dan keluarga sudah berkali kali saya dikirim ke luar kota dan hasilnya sama saya merasa down kesepian hopeless menangis di kamar ingin menghindari segala hal dan saya selalu merasa lebih nyaman di kamar berjam2 lamanya saya sering menghindari acara acara sosial apabila saya sama sekali tidak mengenal orang2nya ketika kuliah saya juga sering menangis karena ketakutan saya menjadi agak terbiasa ketika beberapa bulan kemudian tetapi saya tetap merasa takut akan penilaian orang kepada saya sehingga saya sering menutup diri dan tidak menjadi diri sendiri saya juga sering ketakutan untuk minta tlng kepada orang lain di luar keluarga pasangan dan teman dekat saya selalu takut dengan penilaian orang terhadap saya saya juga takut terhadap kegagalan dan penilaian yang buruk belakangan saya sering menangis karena ketakutan bekerja di sekolah baru sebagai pengajar yang tidak tahu apa-apa dan semua harus dikerjakan sendiri dan saya juga tidak memiliki teman sebaya saya merasa takut apabila diperhatikan terus menerus berada dalam penilaian seseorang dan merasa tenang apabila hal itu dapat saya saya mengalami gangguan kecemasan sosial karena saya merasa sungguh cemas untuk kembali ke kantor baru saya bagaimana dan apa pengobatan yang cocok untuk mohon responnya;0;0;0;1;0
saya memang emosional mudah marah sejak kecil sampai sekarang nah setelah saya browsing tentang skizofrenia saya tidak pernah mendengar suara2 bisikan2 gejala penyakit tersebut atau menemukan bukti kalau saya mengidap itu saya bersosialisasi dengan teman-teman saya dan saya orang nya rasional banget tiap hari saya belajar desain grafis matematika handphone main medsos baca berita intinya belajar apa saja apakah benar saya menderita skizofrenia;0;0;0;0;1
saya punya teman cewek dia itu punya idola korea korea begitu dia itu setiap hari bicarain idolanya dia juga pernah bilang kalau dia itu sudah kayak kenal banget sama idolanya dia juga bilang kalau dia itu suka dalam artian yang sebenarnya ke idolanya itu padahal kan dia enggak pernah ketemu sekalipun sama idolanya itu dia bahkan sudah menata dan bayangkan kalau masa depannya itu sama idolanya dan dia juga kayak enggak mau dekat sama cowok disekitarnya apa dia punya penyakit di otaknya atau halusinasi mungkin;0;0;0;0;1
saya sering melamar kerja diperusahaan besar dan pasti di adakan tes psikotes dan iq saya sering lolos tes iq tapi tidak untuk nego gaji saya sering melihat fenomena semacam dejavu sedangkan saya orangnya sering rasional realistis sering baca buku main catur main game tes iq belajar pemrograman dan service handphone bersih2 rumah beribadah mengaji apakah saya bisa terkena penyakit skizofrenia dejavu;0;0;0;0;1
